segment_file,road_type,backpack_weight,weather,surface_condition,bike_weight,rider_mass
asphalt_4kg_seg9.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg10.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg11.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg12.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg13.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg14.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg15.csv,asphalt,4.0,sunny,dry,17,90
bricks_0kg_seg1.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg2.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg3.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg4.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg5.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg6.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg7.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg8.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg9.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg10.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg11.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg12.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg13.csv,bricks,0.0,sunny,dry,17,90
bricks_0kg_seg14.csv,bricks,0.0,sunny,dry,17,90
bricks_1kg_seg1.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg2.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg3.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg4.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg5.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg6.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg7.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg8.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg9.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg10.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg11.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg12.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg13.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg14.csv,bricks,1.0,sunny,dry,17,90
bricks_1kg_seg15.csv,bricks,1.0,sunny,dry,17,90
bricks_2kg_seg1.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg2.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg3.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg4.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg5.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg6.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg7.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg8.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg9.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg10.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg11.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg12.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg13.csv,bricks,2.0,sunny,dry,17,90
bricks_2kg_seg14.csv,bricks,2.0,sunny,dry,17,90
bricks_3kg_seg1.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg2.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg3.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg4.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg5.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg6.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg7.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg8.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg9.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg10.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg11.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg12.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg13.csv,bricks,3.0,sunny,dry,17,90
bricks_3kg_seg14.csv,bricks,3.0,sunny,dry,17,90
bricks_4kg_seg1.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg2.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg3.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg4.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg5.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg6.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg7.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg8.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg9.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg10.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg11.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg12.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg13.csv,bricks,4.0,sunny,dry,17,90
bricks_4kg_seg14.csv,bricks,4.0,sunny,dry,17,90
grass_0kg_seg1.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg2.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg3.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg4.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg5.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg6.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg7.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg8.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg9.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg10.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg11.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg12.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg13.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg14.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg15.csv,grass,0.0,sunny,dry,17,90
grass_0kg_seg16.csv,grass,0.0,sunny,dry,17,90
grass_1kg_seg1.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg2.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg3.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg4.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg5.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg6.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg7.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg8.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg9.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg10.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg11.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg12.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg13.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg14.csv,grass,1.0,sunny,dry,17,90
grass_1kg_seg15.csv,grass,1.0,sunny,dry,17,90
grass_2kg_seg1.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg2.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg3.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg4.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg5.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg6.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg7.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg8.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg9.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg10.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg11.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg12.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg13.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg14.csv,grass,2.0,sunny,dry,17,90
grass_2kg_seg15.csv,grass,2.0,sunny,dry,17,90
grass_3kg_seg1.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg2.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg3.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg4.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg5.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg6.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg7.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg8.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg9.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg10.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg11.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg12.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg13.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg14.csv,grass,3.0,sunny,dry,17,90
grass_3kg_seg15.csv,grass,3.0,sunny,dry,17,90
grass_4kg_seg1.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg2.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg3.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg4.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg5.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg6.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg7.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg8.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg9.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg10.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg11.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg12.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg13.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg14.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg15.csv,grass,4.0,sunny,dry,17,90
grass_4kg_seg16.csv,grass,4.0,sunny,dry,17,90
sand_0kg_seg1.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg2.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg3.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg4.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg5.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg6.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg7.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg8.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg9.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg10.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg11.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg12.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg13.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg14.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg15.csv,sand,0.0,sunny,dry,17,90
sand_0kg_seg16.csv,sand,0.0,sunny,dry,17,90
sand_1kg_seg1.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg2.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg3.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg4.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg5.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg6.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg7.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg8.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg9.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg10.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg11.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg12.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg13.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg14.csv,sand,1.0,sunny,dry,17,90
sand_1kg_seg15.csv,sand,1.0,sunny,dry,17,90
sand_2kg_seg1.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg2.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg3.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg4.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg5.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg6.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg7.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg8.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg9.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg10.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg11.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg12.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg13.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg14.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg15.csv,sand,2.0,sunny,dry,17,90
sand_2kg_seg16.csv,sand,2.0,sunny,dry,17,90
sand_3kg_seg1.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg2.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg3.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg4.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg5.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg6.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg7.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg8.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg9.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg10.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg11.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg12.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg13.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg14.csv,sand,3.0,sunny,dry,17,90
sand_3kg_seg15.csv,sand,3.0,sunny,dry,17,90
sand_4kg_seg1.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg2.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg3.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg4.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg5.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg6.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg7.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg8.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg9.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg10.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg11.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg12.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg13.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg14.csv,sand,4.0,sunny,dry,17,90
sand_4kg_seg15.csv,sand,4.0,sunny,dry,17,90
