cut_file,road_types,backpack_weight(kg),weather (degrees)
Brug_1_second_2.csv,Wood,1.0,11
Brug_1_second_3.csv,Wood,1.0,11
Brug_1_second_4.csv,Wood,1.0,11
Brug_1_second_5.csv,Wood,1.0,11
Brug_1_second_6.csv,Wood,1.0,11
Brug_1_second_7.csv,Wood,1.0,11
Brug_1_second_8.csv,Wood,1.0,11
Brug_1_second_9.csv,Wood,1.0,11
Brug_1_second_10.csv,Wood,1.0,11
Brug_1_second_11.csv,Wood,1.0,11
Brug_1_second_12.csv,Wood,1.0,11
Brug_1_second_13.csv,Wood,1.0,11
Brug_1_second_14.csv,Wood,1.0,11
Brug_1_second_15.csv,Wood,1.0,11
Brug_1.5_second_0.csv,Wood,1.5,11
Brug_1.5_second_1.csv,Wood,1.5,11
Brug_1.5_second_2.csv,Wood,1.5,11
Brug_1.5_second_3.csv,Wood,1.5,11
Brug_1.5_second_4.csv,Wood,1.5,11
Brug_1.5_second_5.csv,Wood,1.5,11
Brug_1.5_second_6.csv,Wood,1.5,11
Brug_1.5_second_7.csv,Wood,1.5,11
Brug_1.5_second_8.csv,Wood,1.5,11
Brug_1.5_second_9.csv,Wood,1.5,11
Brug_1.5_second_10.csv,Wood,1.5,11
Brug_1.5_second_11.csv,Wood,1.5,11
Brug_1.5_second_12.csv,Wood,1.5,11
Brug_1.5_second_13.csv,Wood,1.5,11
Brug_1.5_second_14.csv,Wood,1.5,11
Brug_1.5_second_15.csv,Wood,1.5,11
Brug_1.5_second_16.csv,Wood,1.5,11
Brug_1.5_second_17.csv,Wood,1.5,11
Brug_2_second_0.csv,Wood,2.0,11
Brug_2_second_1.csv,Wood,2.0,11
Brug_2_second_2.csv,Wood,2.0,11
Brug_2_second_3.csv,Wood,2.0,11
Brug_2_second_4.csv,Wood,2.0,11
Brug_2_second_5.csv,Wood,2.0,11
Brug_2_second_6.csv,Wood,2.0,11
Brug_2_second_7.csv,Wood,2.0,11
Brug_2_second_8.csv,Wood,2.0,11
Brug_2_second_9.csv,Wood,2.0,11
Brug_2_second_10.csv,Wood,2.0,11
Brug_2_second_11.csv,Wood,2.0,11
Brug_2_second_12.csv,Wood,2.0,11
Brug_2_second_13.csv,Wood,2.0,11
Brug_2_second_14.csv,Wood,2.0,11
Brug_2_second_15.csv,Wood,2.0,11
Gras_0_second_0.csv,Grass,0.0,11
Gras_0_second_1.csv,Grass,0.0,11
Gras_0_second_2.csv,Grass,0.0,11
Gras_0_second_3.csv,Grass,0.0,11
Gras_0_second_4.csv,Grass,0.0,11
Gras_0_second_5.csv,Grass,0.0,11
Gras_0_second_6.csv,Grass,0.0,11
Gras_0_second_7.csv,Grass,0.0,11
Gras_0_second_8.csv,Grass,0.0,11
Gras_0_second_9.csv,Grass,0.0,11
Gras_0_second_10.csv,Grass,0.0,11
Gras_0_second_11.csv,Grass,0.0,11
Gras_0_second_12.csv,Grass,0.0,11
Gras_0_second_13.csv,Grass,0.0,11
Gras_0_second_14.csv,Grass,0.0,11
Gras_0.5_second_0.csv,Grass,0.5,11
Gras_0.5_second_1.csv,Grass,0.5,11
Gras_0.5_second_2.csv,Grass,0.5,11
Gras_0.5_second_3.csv,Grass,0.5,11
Gras_0.5_second_4.csv,Grass,0.5,11
Gras_0.5_second_5.csv,Grass,0.5,11
Gras_0.5_second_6.csv,Grass,0.5,11
Gras_0.5_second_7.csv,Grass,0.5,11
Gras_0.5_second_8.csv,Grass,0.5,11
Gras_0.5_second_9.csv,Grass,0.5,11
Gras_0.5_second_10.csv,Grass,0.5,11
Gras_0.5_second_11.csv,Grass,0.5,11
Gras_0.5_second_12.csv,Grass,0.5,11
Gras_0.5_second_13.csv,Grass,0.5,11
Gras_0.5_second_14.csv,Grass,0.5,11
Gras_1_second_0.csv,Grass,1.0,11
Gras_1_second_1.csv,Grass,1.0,11
Gras_1_second_2.csv,Grass,1.0,11
Gras_1_second_3.csv,Grass,1.0,11
Gras_1_second_4.csv,Grass,1.0,11
Gras_1_second_5.csv,Grass,1.0,11
Gras_1_second_6.csv,Grass,1.0,11
Gras_1_second_7.csv,Grass,1.0,11
Gras_1_second_8.csv,Grass,1.0,11
Gras_1_second_9.csv,Grass,1.0,11
Gras_1_second_10.csv,Grass,1.0,11
Gras_1_second_11.csv,Grass,1.0,11
Gras_1_second_12.csv,Grass,1.0,11
Gras_1_second_13.csv,Grass,1.0,11
Gras_1.5_second_0.csv,Grass,1.5,11
Gras_1.5_second_1.csv,Grass,1.5,11
Gras_1.5_second_2.csv,Grass,1.5,11
Gras_1.5_second_3.csv,Grass,1.5,11
Gras_1.5_second_4.csv,Grass,1.5,11
Gras_1.5_second_5.csv,Grass,1.5,11
Gras_1.5_second_6.csv,Grass,1.5,11
Gras_1.5_second_7.csv,Grass,1.5,11
Gras_1.5_second_8.csv,Grass,1.5,11
Gras_1.5_second_9.csv,Grass,1.5,11
Gras_1.5_second_10.csv,Grass,1.5,11
Gras_1.5_second_11.csv,Grass,1.5,11
Gras_1.5_second_12.csv,Grass,1.5,11
Gras_1.5_second_13.csv,Grass,1.5,11
Gras_1.5_second_14.csv,Grass,1.5,11
Gras_2_second_0.csv,Grass,2.0,11
Gras_2_second_1.csv,Grass,2.0,11
Gras_2_second_2.csv,Grass,2.0,11
Gras_2_second_3.csv,Grass,2.0,11
Gras_2_second_4.csv,Grass,2.0,11
Gras_2_second_5.csv,Grass,2.0,11
Gras_2_second_6.csv,Grass,2.0,11
Gras_2_second_7.csv,Grass,2.0,11
Gras_2_second_8.csv,Grass,2.0,11
Gras_2_second_9.csv,Grass,2.0,11
Gras_2_second_10.csv,Grass,2.0,11
Gras_2_second_11.csv,Grass,2.0,11
Gras_2_second_12.csv,Grass,2.0,11
Gras_2_second_13.csv,Grass,2.0,11
Stenen_0_second_0.csv,Bricks,0.0,11
Stenen_0_second_1.csv,Bricks,0.0,11
Stenen_0_second_2.csv,Bricks,0.0,11
Stenen_0_second_3.csv,Bricks,0.0,11
Stenen_0_second_4.csv,Bricks,0.0,11
Stenen_0_second_5.csv,Bricks,0.0,11
Stenen_0_second_6.csv,Bricks,0.0,11
Stenen_0_second_7.csv,Bricks,0.0,11
Stenen_0_second_8.csv,Bricks,0.0,11
Stenen_0_second_9.csv,Bricks,0.0,11
Stenen_0_second_10.csv,Bricks,0.0,11
Stenen_0_second_11.csv,Bricks,0.0,11
Stenen_0_second_12.csv,Bricks,0.0,11
Stenen_0_second_13.csv,Bricks,0.0,11
Stenen_0.5_second_0.csv,Bricks,0.5,11
Stenen_0.5_second_1.csv,Bricks,0.5,11
Stenen_0.5_second_2.csv,Bricks,0.5,11
Stenen_0.5_second_3.csv,Bricks,0.5,11
Stenen_0.5_second_4.csv,Bricks,0.5,11
Stenen_0.5_second_5.csv,Bricks,0.5,11
Stenen_0.5_second_6.csv,Bricks,0.5,11
Stenen_0.5_second_7.csv,Bricks,0.5,11
Stenen_0.5_second_8.csv,Bricks,0.5,11
Stenen_0.5_second_9.csv,Bricks,0.5,11
Stenen_0.5_second_10.csv,Bricks,0.5,11
Stenen_0.5_second_11.csv,Bricks,0.5,11
Stenen_0.5_second_12.csv,Bricks,0.5,11
Stenen_0.5_second_13.csv,Bricks,0.5,11
Stenen_0.5_second_14.csv,Bricks,0.5,11
Stenen_1_second_0.csv,Bricks,1.0,11
Stenen_1_second_1.csv,Bricks,1.0,11
Stenen_1_second_2.csv,Bricks,1.0,11
Stenen_1_second_3.csv,Bricks,1.0,11
Stenen_1_second_4.csv,Bricks,1.0,11
Stenen_1_second_5.csv,Bricks,1.0,11
Stenen_1_second_6.csv,Bricks,1.0,11
Stenen_1_second_7.csv,Bricks,1.0,11
Stenen_1_second_8.csv,Bricks,1.0,11
Stenen_1_second_9.csv,Bricks,1.0,11
Stenen_1_second_10.csv,Bricks,1.0,11
Stenen_1_second_11.csv,Bricks,1.0,11
Stenen_1_second_12.csv,Bricks,1.0,11
Stenen_1_second_13.csv,Bricks,1.0,11
Stenen_1_second_14.csv,Bricks,1.0,11
Stenen_1_second_15.csv,Bricks,1.0,11
Stenen_1_second_16.csv,Bricks,1.0,11
Stenen_1.5_second_0.csv,Bricks,1.5,11
Stenen_1.5_second_1.csv,Bricks,1.5,11
Stenen_1.5_second_2.csv,Bricks,1.5,11
Stenen_1.5_second_3.csv,Bricks,1.5,11
Stenen_1.5_second_4.csv,Bricks,1.5,11
Stenen_1.5_second_5.csv,Bricks,1.5,11
Stenen_1.5_second_6.csv,Bricks,1.5,11
Stenen_1.5_second_7.csv,Bricks,1.5,11
Stenen_1.5_second_8.csv,Bricks,1.5,11
Stenen_1.5_second_9.csv,Bricks,1.5,11
Stenen_1.5_second_10.csv,Bricks,1.5,11
Stenen_1.5_second_11.csv,Bricks,1.5,11
Stenen_1.5_second_12.csv,Bricks,1.5,11
Stenen_1.5_second_13.csv,Bricks,1.5,11
Stenen_1.5_second_14.csv,Bricks,1.5,11
Stenen_1.5_second_15.csv,Bricks,1.5,11
Stenen_1.5_second_16.csv,Bricks,1.5,11
Stenen_2_second_0.csv,Bricks,2.0,11
Stenen_2_second_1.csv,Bricks,2.0,11
Stenen_2_second_2.csv,Bricks,2.0,11
Stenen_2_second_3.csv,Bricks,2.0,11
Stenen_2_second_4.csv,Bricks,2.0,11
Stenen_2_second_5.csv,Bricks,2.0,11
Stenen_2_second_6.csv,Bricks,2.0,11
Stenen_2_second_7.csv,Bricks,2.0,11
Stenen_2_second_8.csv,Bricks,2.0,11
Stenen_2_second_9.csv,Bricks,2.0,11
Stenen_2_second_10.csv,Bricks,2.0,11
Stenen_2_second_11.csv,Bricks,2.0,11
Stenen_2_second_12.csv,Bricks,2.0,11
Stenen_2_second_13.csv,Bricks,2.0,11
Stenen_2_second_14.csv,Bricks,2.0,11
Stenen_2_second_15.csv,Bricks,2.0,11
Stenen_2_second_16.csv,Bricks,2.0,11
